Date_of_fail,Product_description,Country_of_origin,Producer_name,Reason_for_fail,Results,Units,Reference,Category,Test_applied,Holding_order_number
2021-07-30,instant coffee powder with ginseng,thailand,zhulian,vitamins   not permitted in this food,,,fsc 132,surveillance,nan,
2021-07-30,headless dried herring,philippines,umahan international,histamine,260,mg/kg,his 122016,risk,nan,
2021-08-02,fresh sugar snap pea,china,hunan duoying agricultural science and technology,flusilazole not permitted in this food,0.1,mg/kg,fsc 142,surveillance,nan,
2021-08-03,kelp,china,cangzhou huahei shunda grain and oil seasoning,iodine detected in excess of level permitted,6000,mg/kg,bsw 122016,risk,nan,
2021-08-03,seasoned baby clam meat,korea,samjin gf,e coli detected in excess of level permitted,"<2.3, <2.3, <2.3, 2.3, 24",MPN/g,mol 112020,risk,nan,
2021-08-05,cocoa powder,japan,morinaga,niacin vitamin b1 and ferric pyrophosphate not permitted in this food,,,fsc 132,surveillance,nan,
2021-08-05,chilli powder,india,phalada agro research foundation,salmonella detected,Detected,/125g,spi 062019,risk,nan,
2021-08-11,ice tea  lemon and peach,vietnam,unilever vietnam,vitamin c not permitted in this food,,,fsc 132,surveillance,nan,
2021-08-12,dried herring in hot corn oil,phillipines,sharmila corp phillipines,histamine detected in excess of level permitted,420,mg/kg,his 122016,risk,nan,
2021-08-13,blood orange  eucalyptus tea,sri lanka,ceylon tea services plc,vitamin c not permitted in this food,,,fsc 132,surveillance,nan,
2021-08-18,paprika,india,aerath business,salmonella detected,Detected,/125g,spi 062019,risk,nan,
2021-08-20,maldive fish chips,sri lanka,lanka spice,histamine,280,mg/kg,his 122016,risk,nan,
2021-08-20,linna dry fish cape mackerel,sri lanka,green line lanka,histamine,1600,mg/kg,his 122016,risk,nan,
2021-08-23,basmati rice,india,l t foods,lead detected in excess of level permitted,0.5,mg/kg,fsc 141,surveillance,nan,
2021-08-24,gorgonzola dolcesesia emmi,italy,eredi angelo baruffaldi srl,listeria monocytogenes detected,Detected,/125g,che 072018,risk,nan,
2021-08-24,fresh kolkata betel leaves,india,rgn exports,chlorpyrifos detected in excess of mrl,0.03,mg/kg,fsc 142,surveillance,nan,
2021-08-25,frozen dried anchovy,vietnam,thuan thien producing trading,histamine detected in excess of level permitted,290,mg/kg,his 122016,risk,nan,
2021-08-25,chilli powder,india,hr exports,salmonella detected,Detected,/125g,spi 062019,risk,nan,
2021-08-26,ocean farmed barramundi fillets,sri lanka,oceanpick,enrofloxacin not permitted in this food,"0.007, 0.003, 0.004, 0.004",mg/kg,fsc 142,surveillance,nan,
2021-08-26,maldive fish chips fried dry fish,sri lanka,lanka spice,histamine detected in excess of level permitted,"250, 280",mg/kg,his 122016,risk,nan,
2021-08-26,dried lemon slices,china,xiangyang tianma zhonghe trading,myclobutanil detected in excess of mrl,0.06,mg/kg,fsc 142,surveillance,nan,
2021-08-26,dried lemon slices,china,xiangyang tianma zhonghe trading,pyraclostrobin detected in excess of mrl,0.54,mg/kg,fsc 142,surveillance,nan,
2021-08-27,lactic acid drink,china,wa ha ha drinks,nicotinamide zinc and vitamin e not permitted in this food,,,fsc 132,surveillance,nan,
2021-08-30,mixed sesame paste,china,baodang guan xiang food,aflatoxin detected in excess of level permitted,"0.013 (product contains 50% peanut, therefore the calculated maximum level is 0.0075)",mg/kg,nut 112018,risk,nan,
2021-09-02,breakfast cereal,united states,hershey food,vitamin b12 and vitamin a palmitate retinol form not permitted in this food,,,fsc 132,surveillance,nan,
2021-09-02,whole broad beans,india,benz exports,profenofos detected in excess of mrl,0.17,mg/kg,fsc 142,surveillance,nan,
2021-09-02,whole broad beans,india,benz exports,cypermethrin detected in excess of mrl,0.07,mg/kg,fsc 142,surveillance,nan,
2021-09-02,breakfast cereal,united states,general mills,vitamin b12 and vitamin a palmitate retinol form not permitted in this food,,,fsc 132,surveillance,nan,
2021-09-02,breakfast cereal,united states,mondelez,vitamin b5 calcium pantothenate not permitted in this food,,,fsc 132,surveillance,nan,
2021-09-02,breakfast cereal,united states,post consumer brands,vitamin b5 calcium pantothenate not permitted in this food,,,fsc 132,surveillance,nan,
2021-09-03,crunchy peanut butter,turkey,apsa gida sanayive ticaret,aflatoxin,"0.015ÃÂ ÃÂ  (product contains 94% peanut, therefore the calculated maximum level is 0.0141)",mg/kg,nut 112018,risk,nan,
2021-09-03,jujube with seeds,china,zhanhua kingman food coltd,propargite not permitted in this food,0.09,mg/kg,fsc 142,surveillance,nan,
2021-09-06,cassava chips,indonesia,pt arira pangindo,hydrocyanic acid,12,mg/kg,cas 092016,risk,nan,
2021-09-06,cooked prawns tail on,vietnam,minh phu seafood corp,vibrio cholerae,Detected, /125g ,cru 112020,risk,nan,
2021-09-07,red chilli powder,india,pramukh food exports,salmonella,Detected,/125g,spi 062019,risk,nan,
2021-09-10,chilli powder,india,mahashian di hatti,salmonella,Detected,/125g,spi 062019,risk,nan,
2021-09-13,yakisoba noodles,japan,nissin food,non compliant bse certificate provided  no bse certificate,,,bef 112018,risk,nan,
2021-09-13,corn chips beef flavour,japan,ybc,non compliant bse certificate provided  no bse certificate,,,bef 112018,risk,nan,
2021-09-13,dried fish,sri lanka,union commodities pte,histamine,"260, 430, 610",mg/kg,his 122016,risk,nan,
2021-09-13,breakfast cereal,japan,calbee,additive pantothenic acid and vitamin b12 not permitted in this food,,,fsc 132,surveillance,nan,
2021-09-14,black pepper powder,india,aryas foods,salmonella,Detected,/125g,spi 062019,risk,nan,
2021-09-14,multigrain porridge,tanzania united republic of,africa improved foods rwanda,pantothenic acid vitamin b5 vitamin d3 vitamin k1 biotin vitamin b7b8 vitamin b12 and iodine not permitted in this food,,,fsc 132,surveillance,nan,
2021-09-14,chilli powder,india,aryas foods,salmonella,Detected,/125g,spi 062019,risk,nan,
2021-09-14,oronamin c drink,japan,otuska pharmaceutical,vitamin c niacinamide vitamin b6 vitamin b2 and vitamin p not permitted in this food,,,fsc 132,surveillance,nan,
2021-09-15,dried kelp,korea,namdo general food,iodine,4900,mg/kg,bsw 122016,risk,nan,
2021-09-15,raisins,india,harihar foods,carbendazim detected in excess of mrl,1.05,mg/kg,fsc 142,surveillance,nan,
2021-09-15,chilli powder,india,mahashian di hatti,salmonella,Detected,/125g,spi 062019,risk,nan,
2021-09-15,frozen whole durian,vietnam,song tran import and export,carbendazim not permitted in this food,0.13,mg/kg,fsc 142,surveillance,nan,
2021-09-15,chilli powder extra hot,india,harihar foods,salmonella,Detected,/125g,spi 062019,risk,nan,
2021-09-16,frozen whole durian,thailand,sunshine international,procymidone not permitted in this food,0.83,mg/kg,fsc 142,surveillance,nan,
2021-09-17,mangoes fresh,pakistan,progressive mango growers multan,tebuconazole detected in excess of mrl,0.13,mg/kg,fsc 142,surveillance,nan,
2021-09-17,okra,egypt,manahel group,chlorpyrifos detected in excess of mrl,0.02,mg/kg,fsc 142,surveillance,nan,
2021-09-21,soybeans in pod,indonesia,pt mitratani dua tujuh,permethrin detected in excess of mrl,0.08,mg/kg,fsc 142,surveillance,nan,
2021-09-21,betel nut  areca catechu,india,patidar exports,prohibited plant  betel nut,,,fsc 144,risk,nan,
2021-09-21,seaweed,china,jinqiang food factory,iodine,2000,mg/kg,bsw 122016,risk,nan,
2021-09-22,squid dumplings,malaysia,narae foods,vitamin c not permitted in this food,,,fsc 132,surveillance,nan,
2021-09-22,coconut biscuits,korea,pt mayora indah tbk,vitamin b12 not permitted in this food,,,fsc 132,surveillance,nan,
2021-09-23,dried longan,china,hing lee hong enterprise,carbendazim not permitted in this food,0.06,mg/kg,fsc 142,surveillance,nan,
2021-09-23,cayenne pepper chilli powder,india,miltop exports,salmonella,Detected,/125g,spi 062019,risk,nan,
2021-09-27,cream crackers,malaysia,mondelez malaysia sales snd,vitamin b12 and iodine not permitted in this food,,,fsc 132,surveillance,nan,
2021-09-27,flavoured biscuits,malaysia,mondelez malaysia sales snd,vitamin b12 vitamin d iodine and selenium not permitted in this food,,,fsc 132,surveillance,nan,
2021-09-28,spiced peanuts,india,balaji wafers,aflatoxin,0.086,mg/kg,nut 112018,risk,nan,
2021-09-30,chocolate drink,philippines,nestle,iron pyrophosphate not permitted in this food,,,fsc 132,surveillance,nan,
2021-09-30,apple juice drink,philipines,zesto,zinc lactate and vitamin a palmitate not permitted in this food,,,fsc 132,surveillance,nan,
2021-10-04,juice powder,india,umed overseas,the food is not suitable for consumption due to damaged packaging,,,imported food control act section 32,surveillance,nan,
2021-10-06,tapioca chips spicy,india,wynad exports,hydrocyanic acid,23,mg/kg,cas 092016,risk,nan,
2021-10-06,pistachio pesto,italy,gusta la sicilia srl,aflatoxin,0.095,mg/kg,nut 112018,risk,nan,
2021-10-07,tahini,iran,osareh nab e sahand,salmonella,Detected,/125gÃÂ ,ses 052014,risk,nan,
2021-10-07,kashmiri chilli powder,india,shri balaji trademark,salmonella,Detected,/125g,spi 062019,risk,nan,
2021-10-08,pointed gourd slices,india,innovative cuisine,profenofos detected in excess of mrl,0.06ÃÂ ÃÂ ,mg/kg,fsc 142,surveillance,nan,
2021-10-11,pointed gourd,india,innovative cuisine,acephate not permitted in this food,0.04,mg/kg,fsc 142,surveillance,nan,
2021-10-11,tapioca chips,india,greenmount spices,hydrocyanic acid,17,mg/kg,cas 092016,risk,nan,
2021-10-11,beef hotpot kit,taiwan,taiwan yihai food coltd,noncompliant bse certificate provided,ÃÂ N/A,,bef 112018,risk,nan,
2021-10-13,sliced peeled coconut,tonga,tupou fresh produce,salmonella detected,Detected,/125gÃÂ ÃÂ ,fsc 161,surveillance,nan,
2021-10-13,frozen soft shell crabs,myanmar,mef international company,nitrofurazone,0.002,mg/kg,fsc 142,surveillance,nan,
2021-10-14,black lentils  split,india,pramukh food exports,phorate not permitted in this food,0.11,mg/kg,fsc 142,surveillance,nan,
2021-10-14,dried kelp,korea,hosan,iodine,4600,mg/kg,bsw 122016,risk,nan,
2021-10-15,cassava round chips,india,kottackal agro foods,hydrocyanic acid,13,mg/kg,cas 092016,risk,nan,
2021-10-18,fermented beancurd,china,guangzhou jierong trading coltd,detected in excess of levels permitted,"1900, >30000, 2300, 5600, >30000",CFU/g,imported food control act section 32,surveillance,nan,
2021-10-19,red ginseng tea,korea,nonghyup red ginseng,vitamin c not permitted in this food,,,fsc 132,surveillance,nan,
2021-10-19,fresh green chilli,india,vadilal industries,flusilazole not permitted in this food,0.14,mg/kg,fsc 142,surveillance,nan,
2021-10-20,dried kelp,korea,chaemione food,iodine,2900,mg/kg,bsw 122016,risk,nan,
2021-10-20,pecorino blu cheese,italy,salcis,listeria monocytogenes,Detected,/125gÃÂ ,che 072018,risk,nan,
2021-10-21,black pitted olives,israel,kvuzat yavne israel,ferrous sulphate labelled as ferrum not permitted in this food,,,fsc 121132,surveillance,nan,
2021-10-22,milk  fruit drink various flavours,china,wa ha ha drinks,nicotinamide and zinc not permitted in this food,,,fsc 132,surveillance,nan,
2021-10-25,frozen sweet cherries,serbia,sirogojno company doo,phosmet detected in excess of mrl,0.09,mg/kg,fsc 142,surveillance,nan,
2021-10-26,frozen hijiki seaweed,korea,bfo global,inorganic arsenic,1.7,mg/kg,hjs 102016,risk,nan,
2021-10-27,biscuit  originalcheesecacao flavour,korea,hosan,vitamin c not permitted in this food,,,fsc 132,surveillance,nan,
2021-10-28,dried kelp,korea,hee chang trading,iodine,4190,mg/kg,bsw 122016,risk,nan,
2021-11-01,fresh betel leaves,india,vinayaga exports,profenofos detected in excess of mrl,2.76,mg/kg,nan,surveillance,nan,
2021-11-01,fresh betel leaves,india,vinayaga exports,carbendazim not permitted in this food,0.22,mg/kg,fsc 142,surveillance,nan,
2021-11-03,shredded kelp,japan,honpo,iodine,3940,mg/kg,bsw 122016,risk,nan,
2021-11-03,frozen cooked vannamei prawns,vietnam,minh cuong seafood import export frozen processing joint stock company,salmonella,Detected,/125g,cru 112020,risk,nan,
2021-11-05,cayenne pepper,india,miltop exports,salmonella,Detected,/125gÃÂ ,spi 062019,risk,nan,
2021-11-08,red bean pancake  taro flavour,china,huitou ke food group,monascus not permitted in this food,,,fsc 131,surveillance,nan,
2021-11-08,raw pistachio,united arab emirates,delmon star general trading,aflatoxin,0.056,mg/kg,nut 112018,risk,nan,
2021-11-08,tapioca chips,india,malabar natural foods,hydrocyanic acid,12,mg/kg,cas 092016,risk,nan,
2021-11-09,frozen whole durian,vietnam,bjt joint stock company,hexaconazole not permitted in this food,0.08,mg/kg,nan,surveillance,nan,
2021-11-09,frozen whole durian,vietnam,bjt joint stock company,metalaxyl detected in excess of mrl,0.14,mg/kg,fsc 142,surveillance,nan,
2021-11-09,plum  peach candy,korea,lotte confectionery,vitamin e not permitted in this food,,,fsc 132,surveillance,nan,
2021-11-09,crushed chilli,india,nishant export,salmonella,Detected,/125g,spi 062019,risk,nan,
2021-11-10,betel nut,thailand,siam moei,prohibited plant  areca catechu betel nut,,,ppf 112020,risk,nan,
2021-11-11,sardines,tanzania united republic of,tanganyika fresh fish,the food is not suitable for its reasonable intended use food contaminated with insects and debris,N/AÃÂ ,,imported food control act section 32,risk,nan,
2021-11-12,kashmiri mirch red chilli powder,india,mahashian di hatti,salmonella,Detected,/125g,spi 062019,risk,nan,
2021-11-12,dried kelp,korea,namdo general food,iodine,4400,mg/kg,bsw 122016,risk,nan,
2021-11-12,spicy wheat cracker,china,henan luohe pingping food,monascus not permitted in this food,,,fsc 131,surveillance,nan,
2021-11-12,energy drink,japan,otuska pharmaceutical,additives vitamin c p niacinamide not permitted in this food,,,fsc 132,surveillance,nan,
2021-11-12,chilli,thailand,alpha food and product,salmonella,Detected,/125g,spi 062019,risk,nan,
2021-11-15,snakehead fish slices,china,beihai qinguo frozen foods,enrofloxacin,0.01,mg/kg,fsc 142,surveillance,nan,
2021-11-15,snakehead fish slices,china,beihai qinguo frozen foods,ofloxacin,0.004,mg/kg,nan,surveillance,nan,
2021-11-15,snakehead fish slices,china,beihai qinguo frozen foods,levofloxacin,0.004,mg/kg,nan,surveillance,nan,
2021-11-18,chilli ground,india,miltop exports,salmonella,Detected,/125g,spi 062019,risk,nan,
2021-11-23,jelly,japan,sanyo foods,additive lac colour not permitted in this food,,,fsc 131,surveillance,nan,
2021-11-23,tapioca chips,india,malabar natural foods,hydrocyanic acid,11.2,mg/kg,cas 092016,risk,nan,
2021-11-24,skip jack tuna dried fish,sri lanka,kandyan food products,histamine,1100,mg/kg,his 122016,risk,nan,
2021-11-29,soft drink,malaysia,kickapoo malaysia   malaysia,additive caffeine not permitted in this food,,,fsc 131,surveillance,nan,
2021-11-30,dried seasoned sardine,japan,jinno,the food is not suitable for its reasonable intended use  mould contamination,,,imported food control act section 32,risk,nan,
,peas,nan,nan,nan,,,fsc 142,surveillance,nan,
,nan,nan,magdaline maino,betel nut,,,nan,surveillance,nan,
,nan,united states,simpson laboratories,nan,,,nan,surveillance,nan,
,nan,nan,nan,cypermethrin,0.069 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
,nan,nan,nan,iprodione,0.16 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
,nan,nan,nan,permethrin,0.39 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
,nan,nan,nan,profenofos,5.5225 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
,nan,nan,nan,chlorpyrifos,Detected - Not permitted in this food,mg/kg,fsc 142,surveillance,nan,
,nan,nan,nan,fipronil,Detected - Not permitted in this food,mg/kg,fsc 142,surveillance,nan,
,nan,nan,nan,metalaxyl,0.4039 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
,nan,nan,nan,selenium,Not permitted in this food,,fsc 132,surveillance,nan,
,nan,nan,nan,pantothenic acid,Not permitted in this food,,fsc 132,surveillance,nan,
,nan,nan,nan,vitamin b12,Not permitted in this food,,fsc 132,surveillance,nan,
,nan,nan,nan,acephate,Detected - Not permitted in this food,mg/kg,fsc 142,surveillance,nan,
,nan,nan,nan,carbendazim,0.11 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
,nan,nan,nan,permethrin,0.10 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
,nan,nan,nan,salmonella,Detected,/125g,spi 062019,risk,nan,
2022-01-04,sesame seed,india,pramukh food exports,salmonella detected,Detected,/125g,ses 052014,risk,salmonella,
2022-01-05,cream crackers,malaysia,mondelez malaysia sales snd,vitamin b12 and iodine not permitted in this food,,,fsc 132,surveillance,composition,17378
2022-01-06,dried herring,philippines,yang yang food products,histamine detected in excess of level permitted,513,mg/kg,his 122016,risk,histamine,
2022-01-07,dried seaweed,china,tesana trading  hong kong,iodine detected in excess of level permitted,3440,mg/kg,bsw 122016,risk,iodine,
2022-01-10,roasted sesame seed,nepal,sagoon export nepal,the food is not suitable for its reasonable intended use  insect infestation,,,imported food control act section 32,risk,visual,
2022-01-13,mussels,fiji,green isle exporters fiji,e coli detected in excess of levels permitted,">110, <2.3, >110, 46, 2.3",MPN/g,mol 122021,risk,escherichia coli e coli,
2022-01-14,soybeans,taiwan,fu hong foods enterprise,indoxacarb detected in excess of maximum residue limit,0.06,mg/kg,fsc 142,surveillance,fruit and vegetable residue screen,17582
2022-01-14,bracken fern pteridium aquilinum,korea,yong in yu tong,prohibited plant  pteridium aquilinum,,,fsc 144,risk,composition,
2022-01-17,pistachio kernel,iran,ratin khosh,aflatoxin detected in excess of level permitted,0.027,mg/kg,nut 112018,risk,aflatoxin,
2022-01-17,frozen soft shell crab,myanmar,mef international company,nitrofurazone  not permitted in this food,0.002,mg/kg,fsc 142,surveillance,nitrofurans,17414
